action,annotation_count,annotation_set_id,ayah_id,error_count,mode,protected_active_set_id,published,safe_to_persist,verse_key,warning_count
published_beta_candidate,13,318,158,0,wasl,,True,True,2:152,0
published_beta_candidate,21,319,159,0,ayah,,True,True,2:153,1
published_beta_candidate,21,320,159,0,wasl,,True,True,2:153,1
published_beta_candidate,19,321,160,0,ayah,,True,True,2:154,0
published_beta_candidate,19,322,160,0,wasl,,True,True,2:154,0
published_beta_candidate,26,323,161,0,ayah,,True,True,2:155,1
published_beta_candidate,26,324,161,0,wasl,,True,True,2:155,1
published_beta_candidate,20,325,162,0,ayah,,True,True,2:156,3
published_beta_candidate,20,326,162,0,wasl,,True,True,2:156,3
published_beta_candidate,16,327,163,0,ayah,,True,True,2:157,0
published_beta_candidate,16,328,163,0,wasl,,True,True,2:157,0
published_beta_candidate,29,329,164,0,ayah,,True,True,2:158,0
published_beta_candidate,29,330,164,0,wasl,,True,True,2:158,0
published_beta_candidate,29,331,165,0,ayah,,True,True,2:159,1
published_beta_candidate,29,332,165,0,wasl,,True,True,2:159,1
published_beta_candidate,21,333,166,0,ayah,,True,True,2:160,2
published_beta_candidate,21,334,166,0,wasl,,True,True,2:160,2
published_beta_candidate,24,335,167,0,ayah,,True,True,2:161,1
published_beta_candidate,24,336,167,0,wasl,,True,True,2:161,1
published_beta_candidate,13,337,168,0,ayah,,True,True,2:162,0
published_beta_candidate,13,338,168,0,wasl,,True,True,2:162,0
published_beta_candidate,19,339,169,0,ayah,,True,True,2:163,3
published_beta_candidate,19,340,169,0,wasl,,True,True,2:163,3
published_beta_candidate,71,341,170,0,ayah,,True,True,2:164,2
published_beta_candidate,71,342,170,0,wasl,,True,True,2:164,2
published_beta_candidate,44,343,171,0,ayah,,True,True,2:165,2
published_beta_candidate,43,344,171,0,wasl,,True,True,2:165,2
published_beta_candidate,15,345,172,0,ayah,,True,True,2:166,2
published_beta_candidate,14,346,172,0,wasl,,True,True,2:166,2
published_beta_candidate,36,347,173,0,ayah,,True,True,2:167,2
published_beta_candidate,36,348,173,0,wasl,,True,True,2:167,2
published_beta_candidate,24,349,174,0,ayah,,True,True,2:168,0
published_beta_candidate,24,350,174,0,wasl,,True,True,2:168,0
published_beta_candidate,17,351,175,0,ayah,,True,True,2:169,1
published_beta_candidate,17,352,175,0,wasl,,True,True,2:169,1
published_beta_candidate,25,353,176,0,ayah,,True,True,2:170,0
published_beta_candidate,25,354,176,0,wasl,,True,True,2:170,0
published_beta_candidate,23,355,177,0,ayah,,True,True,2:171,3
published_beta_candidate,23,356,177,0,wasl,,True,True,2:171,3
published_beta_candidate,24,357,178,0,ayah,,True,True,2:172,1
published_beta_candidate,24,358,178,0,wasl,,True,True,2:172,1
published_beta_candidate,30,359,179,0,ayah,,True,True,2:173,0
published_beta_candidate,30,360,179,0,wasl,,True,True,2:173,0
published_beta_candidate,39,361,180,0,ayah,,True,True,2:174,3
published_beta_candidate,39,362,180,0,wasl,,True,True,2:174,3
published_beta_candidate,21,363,181,0,ayah,,True,True,2:175,1
published_beta_candidate,21,364,181,0,wasl,,True,True,2:175,1
published_beta_candidate,20,365,182,0,ayah,,True,True,2:176,1
published_beta_candidate,19,366,182,0,wasl,,True,True,2:176,1
published_beta_candidate,99,367,183,0,ayah,,True,True,2:177,1
published_beta_candidate,99,368,183,0,wasl,,True,True,2:177,1
published_beta_candidate,55,369,184,0,ayah,,True,True,2:178,3
published_beta_candidate,55,370,184,0,wasl,,True,True,2:178,3
published_beta_candidate,13,371,185,0,ayah,,True,True,2:179,0
published_beta_candidate,13,372,185,0,wasl,,True,True,2:179,0
published_beta_candidate,21,373,186,0,ayah,,True,True,2:180,0
published_beta_candidate,21,374,186,0,wasl,,True,True,2:180,0
published_beta_candidate,14,375,187,0,ayah,,True,True,2:181,1
published_beta_candidate,14,376,187,0,wasl,,True,True,2:181,1
published_beta_candidate,18,377,188,0,ayah,,True,True,2:182,0
published_beta_candidate,18,378,188,0,wasl,,True,True,2:182,0
published_beta_candidate,16,379,189,0,ayah,,True,True,2:183,2
published_beta_candidate,16,380,189,0,wasl,,True,True,2:183,2
published_beta_candidate,45,381,190,0,ayah,,True,True,2:184,1
published_beta_candidate,45,382,190,0,wasl,,True,True,2:184,1
published_beta_candidate,62,383,191,0,ayah,,True,True,2:185,2
published_beta_candidate,62,384,191,0,wasl,,True,True,2:185,2
published_beta_candidate,26,385,192,0,ayah,,True,True,2:186,0
published_beta_candidate,26,386,192,0,wasl,,True,True,2:186,0
published_beta_candidate,97,387,193,0,ayah,,True,True,2:187,3
published_beta_candidate,97,388,193,0,wasl,,True,True,2:187,3
published_beta_candidate,29,389,194,0,ayah,,True,True,2:188,1
published_beta_candidate,29,390,194,0,wasl,,True,True,2:188,1
published_beta_candidate,35,391,195,0,ayah,,True,True,2:189,1
