ayah_id,surah_number,ayah_number,ayah_key,safe_to_persist,annotation_count,issue_count,low_confidence_count,emitted_rule_codes,exception
16,2,10,2:10,False,19,2,0,alif_lam_qamariah|ghunnah|idgham_bighunnah|idgham_mimi|idgham_mutamatsilain|ikhfa_haqiqi|izhar_syafawi|mad_asli|mad_lazim_mukhaffaf|mad_silah_qasirah|tafkhim_lam_jalalah|tafkhim_ra,
17,2,11,2:11,True,13,1,0,ghunnah|idgham_mutamatsilain|izhar_syafawi|mad_aridh_lissukun|mad_asli|mad_lazim_mukhaffaf|mad_silah_qasirah|tafkhim_ra,
18,2,12,2:12,True,11,1,0,alif_lam_qamariah|ghunnah|idgham_bilaghunnah|izhar_syafawi|mad_aridh_lissukun|mad_asli|mad_lazim_mukhaffaf|mad_silah_qasirah|tafkhim_ra,
19,2,13,2:13,False,17,10,0,alif_lam_syamsiah|ghunnah|idgham_mutamatsilain|izhar_syafawi|mad_asli|mad_lazim_mukhaffaf|mad_silah_qasirah,
20,2,14,2:14,False,10,13,0,alif_lam_syamsiah|ghunnah|mad_asli|mad_lazim_mukhaffaf,
21,2,15,2:15,True,10,0,0,izhar_syafawi|mad_aridh_lissukun|mad_lazim_mukhaffaf|mad_silah_qasirah,
22,2,16,2:16,False,16,2,0,alif_lam_qamariah|alif_lam_syamsiah|idgham_mutamatsilain|izhar_syafawi|mad_aridh_lissukun|mad_asli|mad_lazim_mukhaffaf|mad_silah_qasirah|tafkhim_ra,
23,2,17,2:17,False,12,13,0,alif_lam_syamsiah|idgham_mutamatsilain|izhar_syafawi|mad_asli|mad_lazim_mukhaffaf|mad_silah_qasirah|tarqiq_ra,
24,2,18,2:18,False,4,1,0,ghunnah|izhar_halqi|izhar_syafawi|mad_asli,TajwidAnnotationError: Render segment index 2 dimulai dengan combining mark.
25,2,19,2:19,True,32,6,0,alif_lam_qamariah|alif_lam_syamsiah|ghunnah|idgham_bighunnah|idgham_mimi|idgham_mutajanisain|idgham_mutamatsilain|iqlab|izhar_syafawi|mad_aridh_lissukun|mad_asli|mad_lazim_mukhaffaf|mad_lazim_mutsaqqal|mad_silah_qasirah|qalqalah_sugra|tafkhim_lam_jalalah|tafkhim_ra|tarqiq_ra,
26,2,20,2:20,False,12,24,0,alif_lam_qamariah|idgham_mutamatsilain|mad_asli|mad_lazim_mukhaffaf|mad_silah_qasirah|qalqalah_sugra|tafkhim_ra,
