ayah_id,surah_number,ayah_number,only_ayah_stop,only_wasl
133,2,127,mad_arid_lissukun@74:76,mad_tabii@74:76
134,2,128,mad_arid_lissukun@91:93,mad_tabii@91:93
135,2,129,mad_arid_lissukun@94:96,mad_tabii@94:96
136,2,130,mad_arid_lissukun@86:88,mad_tabii@86:88
137,2,131,mad_arid_lissukun@37:39,mad_tabii@37:39
138,2,132,mad_arid_lissukun@79:81,mad_tabii@79:81
139,2,133,mad_arid_lissukun@133:135,mad_tabii@133:135
140,2,134,mad_arid_lissukun@69:71,mad_tabii@69:71
141,2,135,mad_arid_lissukun@74:76,mad_tabii@74:76
142,2,136,mad_arid_lissukun@158:160,mad_tabii@158:160
143,2,137,mad_arid_lissukun@96:98,mad_tabii@96:98
144,2,138,mad_arid_lissukun@46:48,mad_tabii@46:48
145,2,139,mad_arid_lissukun@73:75,mad_tabii@73:75
146,2,140,mad_arid_lissukun@154:156,mad_tabii@154:156
147,2,141,mad_arid_lissukun@69:71,mad_tabii@69:71
148,2,142,mad_arid_lissukun@110:112,mad_tabii@110:112
149,2,143,mad_arid_lissukun@241:243,mad_tabii@241:243
150,2,144,mad_arid_lissukun@183:185,mad_tabii@183:185
151,2,145,mad_arid_lissukun@161:163,mad_tabii@161:163
152,2,146,mad_arid_lissukun@83:85,mad_tabii@83:85
153,2,147,mad_arid_lissukun@30:32,mad_tabii@30:32
154,2,148,mad_arid_lissukun@91:93|ra_tarqiq@93:94,mad_tabii@91:93|ra_tafkhim@93:94
155,2,149,mad_arid_lissukun@83:85,mad_tabii@83:85
156,2,150,mad_arid_lissukun@169:171,mad_tabii@169:171
157,2,151,mad_arid_lissukun@99:101,mad_tabii@99:101
158,2,152,mad_arid_lissukun@34:36,mad_tabii@34:36
159,2,153,mad_arid_lissukun@59:61,mad_tabii@59:61
160,2,154,mad_arid_lissukun@61:63,mad_tabii@61:63
161,2,155,mad_arid_lissukun@72:74,mad_tabii@72:74
162,2,156,mad_arid_lissukun@52:54,mad_tabii@52:54
163,2,157,mad_arid_lissukun@47:49,mad_tabii@47:49
164,2,158,mad_arid_lissukun@115:117,mad_tabii@115:117
165,2,159,mad_arid_lissukun@103:105,mad_tabii@103:105
166,2,160,mad_arid_lissukun@66:68,mad_tabii@66:68
167,2,161,mad_arid_lissukun@72:74,mad_tabii@72:74
168,2,162,mad_arid_lissukun@43:45,mad_tabii@43:45
169,2,163,mad_arid_lissukun@39:41,mad_tabii@39:41
170,2,164,mad_arid_lissukun@223:225,mad_tabii@223:225
171,2,165,mad_arid_lissukun@154:156|qalqalah_kubra@156:157,mad_tabii@154:156
172,2,166,mad_arid_lissukun@65:67|qalqalah_kubra@67:68,mad_tabii@65:67
173,2,167,mad_arid_lissukun@120:122|ra_tafkhim@122:123,mad_tabii@120:122|ra_tarqiq@122:123
174,2,168,mad_arid_lissukun@77:79,mad_tabii@77:79
175,2,169,mad_arid_lissukun@57:59,mad_tabii@57:59
176,2,170,mad_arid_lissukun@109:111,mad_tabii@109:111
177,2,171,mad_arid_lissukun@84:86,mad_tabii@84:86
178,2,172,mad_arid_lissukun@69:71,mad_tabii@69:71
179,2,173,mad_arid_lissukun@118:120,mad_tabii@118:120
180,2,174,mad_arid_lissukun@146:148,mad_tabii@146:148
181,2,175,mad_arid_lissukun@69:71|ra_tafkhim@71:72,mad_tabii@69:71|ra_tarqiq@71:72
182,2,176,mad_arid_lissukun@68:70|qalqalah_kubra@70:71,mad_tabii@68:70
183,2,177,mad_arid_lissukun@315:317,mad_tabii@315:317
184,2,178,mad_arid_lissukun@199:201,mad_tabii@199:201
185,2,179,mad_arid_lissukun@42:44,mad_tabii@42:44
186,2,180,mad_arid_lissukun@92:94,mad_tabii@92:94
187,2,181,mad_arid_lissukun@65:67,mad_tabii@65:67
188,2,182,mad_arid_lissukun@69:71,mad_tabii@69:71
189,2,183,mad_arid_lissukun@70:72,mad_tabii@70:72
190,2,184,mad_arid_lissukun@154:156,mad_tabii@154:156
191,2,185,mad_arid_lissukun@230:232,mad_tabii@230:232
192,2,186,mad_arid_lissukun@92:94,mad_tabii@92:94
193,2,187,mad_arid_lissukun@354:356,mad_tabii@354:356
194,2,188,mad_arid_lissukun@100:102,mad_tabii@100:102
195,2,189,mad_arid_lissukun@151:153,mad_tabii@151:153
196,2,190,mad_arid_lissukun@70:72,mad_tabii@70:72
197,2,191,mad_arid_lissukun@150:152,mad_tabii@150:152
198,2,192,mad_arid_lissukun@26:28,mad_tabii@26:28
199,2,193,mad_arid_lissukun@76:78,mad_tabii@76:78
200,2,194,mad_arid_lissukun@126:128,mad_tabii@126:128
201,2,195,mad_arid_lissukun@80:82,mad_tabii@80:82
202,2,196,mad_arid_lissukun@371:373|qalqalah_kubra@373:374,mad_tabii@371:373
203,2,197,mad_arid_lissukun@150:152|qalqalah_kubra@152:153,mad_tabii@150:152
204,2,198,mad_arid_lissukun@138:140,mad_tabii@138:140
205,2,199,mad_arid_lissukun@59:61,mad_tabii@59:61
206,2,200,mad_arid_lissukun@119:121|qalqalah_kubra@121:122,mad_tabii@119:121
207,2,201,mad_arid_lissukun@67:69|ra_tafkhim@69:70,mad_tabii@67:69|ra_tarqiq@69:70
208,2,202,mad_arid_lissukun@41:43|qalqalah_kubra@43:44,mad_tabii@41:43
209,2,203,mad_arid_lissukun@128:130,mad_tabii@128:130
210,2,204,mad_arid_lissukun@80:82,mad_tabii@80:82
211,2,205,mad_arid_lissukun@72:74|qalqalah_kubra@74:75,mad_tabii@72:74
212,2,206,mad_arid_lissukun@62:64|qalqalah_kubra@64:65,mad_tabii@62:64
213,2,207,mad_arid_lissukun@57:59|qalqalah_kubra@59:60,mad_tabii@57:59
214,2,208,mad_arid_lissukun@76:78,mad_tabii@76:78
215,2,209,mad_arid_lissukun@56:58,mad_tabii@56:58
216,2,210,mad_arid_lissukun@86:88,mad_tabii@86:88
217,2,211,mad_arid_lissukun@93:95|qalqalah_kubra@95:96,mad_tabii@93:95
218,2,212,mad_arid_lissukun@112:114|qalqalah_kubra@114:115,mad_tabii@112:114
219,2,213,mad_arid_lissukun@268:270,mad_tabii@268:270
220,2,214,mad_arid_lissukun@157:159|qalqalah_kubra@159:160,mad_tabii@157:159
221,2,215,mad_arid_lissukun@124:126,mad_tabii@124:126
222,2,216,mad_arid_lissukun@120:122,mad_tabii@120:122
223,2,217,mad_arid_lissukun@308:310,mad_tabii@308:310
224,2,218,mad_arid_lissukun@87:89,mad_tabii@87:89
225,2,219,mad_arid_lissukun@148:150,mad_tabii@148:150
226,2,220,mad_arid_lissukun@147:149,mad_tabii@147:149
227,2,221,mad_arid_lissukun@226:228,mad_tabii@226:228
228,2,222,mad_arid_lissukun@151:153,mad_tabii@151:153
229,2,223,mad_arid_lissukun@100:102,mad_tabii@100:102
230,2,224,mad_arid_lissukun@76:78,mad_tabii@76:78
231,2,225,mad_arid_lissukun@77:79,mad_tabii@77:79
232,2,226,mad_arid_lissukun@62:64,mad_tabii@62:64
233,2,227,mad_arid_lissukun@32:34,mad_tabii@32:34
234,2,228,mad_arid_lissukun@214:216,mad_tabii@214:216
235,2,229,mad_arid_lissukun@244:246,mad_tabii@244:246
236,2,230,mad_arid_lissukun@144:146,mad_tabii@144:146
237,2,231,mad_arid_lissukun@247:249,mad_tabii@247:249
238,2,232,mad_arid_lissukun@182:184,mad_tabii@182:184
239,2,233,mad_arid_lissukun@357:359|ra_tarqiq@359:360,mad_tabii@357:359|ra_tafkhim@359:360
240,2,234,mad_arid_lissukun@145:147|ra_tarqiq@147:148,mad_tabii@145:147|ra_tafkhim@147:148
241,2,235,mad_arid_lissukun@248:250,mad_tabii@248:250
242,2,236,mad_arid_lissukun@137:139,mad_tabii@137:139
243,2,237,mad_arid_lissukun@176:178|ra_tarqiq@178:179,mad_tabii@176:178|ra_tafkhim@178:179
244,2,238,mad_arid_lissukun@46:48,mad_tabii@46:48
245,2,239,mad_arid_lissukun@78:80,mad_tabii@78:80
246,2,240,mad_arid_lissukun@141:143,mad_tabii@141:143
247,2,241,mad_arid_lissukun@36:38,mad_tabii@36:38
248,2,242,mad_arid_lissukun@33:35,mad_tabii@33:35
249,2,243,mad_arid_lissukun@136:138,mad_tabii@136:138
250,2,244,mad_arid_lissukun@43:45,mad_tabii@43:45
251,2,245,mad_arid_lissukun@81:83,mad_tabii@81:83
252,2,246,mad_arid_lissukun@273:275,mad_tabii@273:275
253,2,247,mad_arid_lissukun@210:212,mad_tabii@210:212
254,2,248,mad_arid_lissukun@140:142,mad_tabii@140:142
255,2,249,mad_arid_lissukun@307:309,mad_tabii@307:309
256,2,250,mad_arid_lissukun@87:89,mad_tabii@87:89
